src_ip,dst_ip,src_port,dst_port,protocol,packet_count,duration,avg_packet_size
192.168.118.134,172.217.26.106,43379,443,UDP,13,1.154188,540.62
192.168.118.134,216.58.200.170,48731,443,UDP,12,4.454589,469.83
172.217.26.106,192.168.118.134,443,43379,UDP,22,1.188033,770.77
216.58.200.170,192.168.118.134,443,48731,UDP,20,4.462541,820.75
192.168.118.134,172.217.194.84,59311,443,UDP,12,2.268521,488.33
192.168.118.134,192.168.118.2,48073,53,UDP,1,0,75.0
192.168.118.134,192.168.118.2,40937,53,UDP,2,0.000084,75.0
192.168.118.2,192.168.118.134,53,48073,UDP,1,0,125.0
192.168.118.2,192.168.118.134,53,40937,UDP,2,0.001125,97.0
192.168.118.134,172.217.24.238,60924,443,TCP,23,109.530755,174.61
192.168.118.134,172.217.24.238,60940,443,TCP,20,1.092329,391.1
192.168.118.134,172.217.24.238,60946,443,TCP,10,0.528786,265.7
172.217.194.84,192.168.118.134,443,59311,UDP,19,2.289783,747.53
172.217.24.238,192.168.118.134,443,60946,TCP,11,0.421903,819.82
172.217.24.238,192.168.118.134,443,60924,TCP,24,109.423271,436.04
172.217.24.238,192.168.118.134,443,60940,TCP,22,0.984974,533.64
192.168.118.134,172.217.26.106,44460,443,UDP,7,0.311755,450.71
172.217.26.106,192.168.118.134,443,44460,UDP,16,0.187678,955.81
192.168.118.134,172.217.24.238,43025,443,UDP,23,4.477669,582.57
172.217.24.238,192.168.118.134,443,43025,UDP,30,4.499522,505.63
192.168.118.134,192.168.118.2,37043,53,UDP,1,0,74.0
192.168.118.134,192.168.118.2,52553,53,UDP,2,0.000137,74.0
192.168.118.2,192.168.118.134,53,37043,UDP,1,0,145.0
192.168.118.2,192.168.118.134,53,52553,UDP,2,0.007617,117.0
192.168.118.134,172.217.24.78,47150,443,TCP,16,0.930372,309.44
192.168.118.134,172.217.24.78,47158,443,TCP,9,0.550187,289.11
192.168.118.134,192.168.118.2,37884,53,UDP,1,0,84.0
192.168.118.134,192.168.118.2,48917,53,UDP,2,0.000085,84.0
192.168.118.2,192.168.118.134,53,48917,UDP,2,0.000001,106.0
192.168.118.2,192.168.118.134,53,37884,UDP,1,0,109.0
192.168.118.134,142.250.193.2,44062,443,UDP,10,0.596612,373.7
172.217.24.78,192.168.118.134,443,47150,TCP,22,0.833615,1450.41
172.217.24.78,192.168.118.134,443,47158,TCP,10,0.453518,896.2
192.168.118.134,142.250.193.2,57076,443,TCP,18,127.907295,179.39
142.250.193.2,192.168.118.134,443,44062,UDP,16,0.643323,628.5
192.168.118.134,216.58.200.177,38648,443,UDP,7,0.295401,450.86
