src_ip,dst_ip,src_port,dst_port,protocol,packet_count,duration,total_bytes,avg_packet_size,min_iat,max_iat,mean_iat,std_iat,bytes_per_second,packets_per_second,avg_bytes_per_packet,dns_query_length,dns_subdomain_depth,dns_entropy,flag_high_packet,flag_long_duration,flag_high_dns_entropy,flag_deep_dns,suspicion_score,ml_anomaly_score,ml_score_normalized,rule_score_normalized,final_threat_score,severity
192.168.118.2,192.168.118.134,53,51615,UDP,2,1e-06,232,116.0,1e-06,1e-06,1e-06,0.0,243269632.0,2097152.0,116.0,34,3,4.124,False,False,True,False,1,-0.0382343923881165,0.4084305936150759,0.5,0.4633722374460304,MEDIUM
192.168.118.134,34.160.90.233,55042,443,TCP,19,170.978932,2130,112.11,3.6e-05,58.894887,9.49883,21.180486,12.46,0.11,112.11,0,0,0.0,False,False,False,False,0,0.020535114871356,0.5596411759903864,0.0,0.2238564703961545,LOW
192.168.118.2,192.168.118.134,53,36120,UDP,2,1e-06,268,134.0,1e-06,1e-06,1e-06,0.0,281018368.0,2097152.0,134.0,16,2,3.5,False,False,False,False,0,0.0010090343924575,0.5094016872077827,0.0,0.203760674883113,LOW
192.168.118.134,151.101.157.91,42308,443,TCP,22,229.002384,2504,113.82,7.8e-05,59.047567,10.904875,22.400235,10.93,0.1,113.82,0,0,0.0,False,True,False,False,1,-0.0260786973209445,0.439706502092044,0.5,0.4758826008368176,MEDIUM
34.160.90.233,192.168.118.134,443,55042,TCP,19,170.901048,6611,347.95,0.0,58.895094,9.494503,21.189032,38.68,0.11,347.95,0,0,0.0,False,False,False,False,0,0.0242507220204149,0.5692012207667787,0.0,0.2276804883067115,LOW
151.101.157.91,192.168.118.134,443,42308,TCP,23,228.937317,8762,380.96,1e-06,59.048448,10.406242,22.009673,38.27,0.1,380.96,0,0,0.0,False,True,False,False,1,-0.0167494715440912,0.4637100666718945,0.5,0.4854840266687578,MEDIUM
192.168.118.134,192.168.118.2,48793,53,UDP,1,0.0,70,70.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,10,1,3.322,False,False,False,False,0,0.1333071496725493,0.8497971744514543,0.0,0.3399188697805817,MEDIUM
192.168.118.134,192.168.118.2,51137,53,UDP,2,3.5e-05,140,70.0,3.5e-05,3.5e-05,3.5e-05,0.0,3994575.24,57065.36,70.0,10,1,3.322,False,False,False,False,0,0.1133926163178565,0.798558218626956,0.0,0.3194232874507824,MEDIUM
192.168.118.2,192.168.118.134,53,51137,UDP,2,0.011475,184,92.0,0.011475,0.011475,0.011475,0.0,16034.74,174.29,92.0,10,1,3.322,False,False,False,False,0,0.0951804743112106,0.7516994184167005,0.0,0.3006797673666802,MEDIUM
192.168.118.2,192.168.118.134,53,48793,UDP,1,0.0,135,135.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,10,1,3.322,False,False,False,False,0,0.1350533667165303,0.8542900910758573,0.0,0.3417160364303429,MEDIUM
